Industry,Invst(EQ),P/L (EQ),Invst(OPT),P/L (OPT),P/L (EQ)%,P/L (OPT)%
Automobile and Auto Components,1082.7,-10.450000000000045,2940.0,2905.0,-0.00965179643483887,0.9880952380952381
Capital Goods,145.0,-2.8000000000000114,2025.0,1800.0,-0.019310344827586284,0.8888888888888888
Construction,29.05,0.6500000000000021,12600.0,-9000.0,0.022375215146299556,-0.7142857142857143
Consumer Services,231.75,6.599999999999994,5630.799999999999,-15685.8,0.028478964401294472,-2.785714285714286
Financial Services,817.0,9.849999999999994,48823.75,-13908.749999999993,0.012056303549571596,-0.2848767249545558
Metals & Mining,343.55,4.900000000000034,1558.75,1505.0,0.014262843836414012,0.9655172413793104
Oil Gas & Consumable Fuels,163.4,12.0,13475.0,-30030.0,0.07343941248470012,-2.2285714285714286
