SYMBOL,STRIKE_PR,Lot Size,TIMESTAMP,Status,ENTRY,SL,Entry(EQ),Entry(OPT),Invst(EQ),Invst(OPT),Cur Pr(EQ),Cur Pr(OPT),Cur Val(EQ),Cur Val(OPT),P/L (EQ),P/L (OPT),P/L (EQ)%,P/L (OPT)%,Industry
M&M,1060.0,700        ,2022-06-27,HOLD,1074.5,1031.6,1082.7,17.8,1082.7,12460.0,1093.15,30.75,1093.15,21525.0,10.450000000000045,9065.0,0.00965179643483887,0.7275280898876404,Automobile and Auto Components
ASHOKLEY,140.0,4500       ,2022-06-28,HOLD,141.45,137.7,145.0,5.55,145.0,24975.0,147.8,7.65,147.8,34425.0,2.8000000000000114,9450.0,0.019310344827586284,0.3783783783783784,Capital Goods
NBCC,30.0,12000      ,2022-06-27,HOLD,28.8,27.45,29.05,0.2,29.05,2400.0,28.4,0.05,28.4,600.0,-0.6500000000000021,-1800.0,-0.022375215146299556,-0.75,Construction
INDHOTEL,230.0,4022       ,2022-06-29,HOLD,229.5,224.5,231.75,2.8,231.75,11261.599999999999,225.15,0.05,225.15,201.10000000000002,-6.599999999999994,-11060.499999999998,-0.028478964401294472,-0.9821428571428571,Consumer Services
BANKBARODA,100.0,11700      ,2022-06-08,SELL,103.25,100.9,103.55,4.5,103.55,52650.0,99.95,2.7,99.95,31590.000000000004,-3.5999999999999943,-21059.999999999996,-0.034765813616610276,-0.3999999999999999,Financial Services
ICICIBANK,700.0,1375       ,2022-06-24,HOLD,700.05,676.3,713.45,17.4,713.45,23924.999999999996,707.2,7.0,707.2,9625.0,-6.25,-14299.999999999996,-0.00876024949190553,-0.5977011494252873,Financial Services
HINDALCO,330.0,1075       ,2022-06-28,HOLD,343.5,325.6,343.55,14.65,343.55,15748.75,338.65,9.55,338.65,10266.25,-4.900000000000034,-5482.5,-0.014262843836414012,-0.34812286689419797,Metals & Mining
ONGC,155.0,7700       ,2022-06-08,SELL,162.95,154.2,163.4,9.45,163.4,72765.0,151.4,2.5,151.4,19250.0,-12.0,-53515.0,-0.07343941248470012,-0.7354497354497355,Oil Gas & Consumable Fuels
,,,,,,,,,2812.45,216185.35,,,,,-20.749999999999968,-88703.0,,,
