Industry,Invst(EQ),P/L (EQ),Invst(OPT),P/L (OPT),P/L (EQ)%,P/L (OPT)%
Automobile and Auto Components,1082.7,10.450000000000045,12460.0,9065.0,0.00965179643483887,0.7275280898876404
Capital Goods,145.0,2.8000000000000114,24975.0,9450.0,0.019310344827586284,0.3783783783783784
Construction,29.05,-0.6500000000000021,2400.0,-1800.0,-0.022375215146299556,-0.75
Consumer Services,231.75,-6.599999999999994,11261.599999999999,-11060.499999999998,-0.028478964401294472,-0.9821428571428571
Financial Services,817.0,-9.849999999999994,76575.0,-35359.99999999999,-0.012056303549571596,-0.46176950701926206
Metals & Mining,343.55,-4.900000000000034,15748.75,-5482.5,-0.014262843836414012,-0.34812286689419797
Oil Gas & Consumable Fuels,163.4,-12.0,72765.0,-53515.0,-0.07343941248470012,-0.7354497354497355
