Industry,Invst(EQ),P/L (EQ),Invst(OPT),P/L (OPT),P/L (EQ)%,P/L (OPT)%
Automobile and Auto Components,428.5,-16.69999999999999,43890.0,8122.5,-0.038973162193698924,0.18506493506493507
Capital Goods,417.15,6.900000000000006,167360.0,7415.000000000015,0.016540812657317525,0.04430568833652016
Fast Moving Consumer Goods,267.9,5.600000000000023,32320.0,-26240.0,0.020903322135125132,-0.8118811881188119
Financial Services,1268.25,-38.90000000000002,449330.0,64355.0,-0.030672186083185508,0.1432243562637705
Media Entertainment & Publication,213.55,0.549999999999983,60449.99999999999,-10199.999999999993,0.002575509248419494,-0.16873449131513638
Metals & Mining,2066.0,-57.60000000000002,379686.25,386951.25,-0.02787996127783157,1.0191342193719157
Oil Gas & Consumable Fuels,2885.5,47.2999999999999,112535.0,-19565.0,0.016392306359383088,-0.17385702225974142
Power,584.75,-27.75,250056.7,136799.6,-0.04745617785378367,0.5470743235434203
Telecommunication,9.1,-0.6999999999999993,28000.0,17500.0,-0.07692307692307684,0.625
